depth "temperature (K)" "grain size (m)"
1098.16 245.219731645328 0.003865616890604
1098.25 245.21981038235 0.003693128301469
1098.34 245.220889119372 0.003571458211873
1103.39 245.242307141162 0.00365228988641
1103.57 245.242464615206 0.003059647499808
1103.66 245.242543352228 0.004189007926173
1103.75 245.24362208925 0.003402537524082
1103.84 245.243700826272 0.003515695228097
1114.94 245.272411725652 0.003148994732916
1115.03 245.272490462674 0.003167065048388
1115.12 245.272569199696 0.003426376805165
1115.21 245.272647936718 0.003920723870856
1115.3 245.27272667374 0.003451010759879
1115.39 245.272805410762 0.003879737777455
1124.84 245.281072798072 0.003542368435941
1124.93 245.281151535094 0.003335304439652
1125.02 245.281230272116 0.003205133167091
1125.11 245.281309009138 0.003547520736865
1125.2 245.28138774616 0.003562620234729
1125.29 245.281466483182 0.00322277416718
1136.39 245.359177382562 0.003582439481564
1136.75 245.36249233065 0.004172699779555
1136.84 245.362571067672 0.004077791207294
1136.94 245.363658553252 0.003731558606412
1137.03 245.364737290274 0.00358705685308
1137.12 245.364816027296 0.003618844105696
1137.21 245.365894764318 0.004117192572474
1137.3 245.36597350134 0.00429490223734
1137.39 245.366052238362 0.003632399586249
1137.49 245.367139723942 0.003690024165139
1137.58 245.367218460964 0.003362471467314
1137.67 245.367297197986 0.003361454606587
1146.29 245.397838454982 0.003537748523008
1146.38 245.397917192004 0.003470962915131
1146.47 245.398995929026 0.003489193977303
1146.56 245.399074666048 0.003596769438577
1146.65 245.39915340307 0.003435103850943
1146.74 245.399232140092 0.004016189801861
1157.93 245.439021776494 0.003325205325994
1158.02 245.439100513516 0.003571493862107
1158.11 245.440179250538 0.003568783429404
1158.2 245.44025798756 0.003763140292954
1158.29 245.440336724582 0.003806804151814
1179.84 245.543189867072 0.004178005766685
1179.93 245.543268604094 0.003734321372581
1180.02 245.544347341116 0.004117285346264
1180.11 245.544426078138 0.004166164758838
1180.2 245.54550481516 0.003747425190535
1180.29 245.545583552182 0.00421520231102
