#Points_Magnitude  strain_rate_tensor_Magnitude  velocity_Magnitude
1.436  6.28783e-10  1.54688e-10
1.437  6.28783e-10  1.55206e-10
1.438  6.54466e-10  1.5574e-10
1.439  6.54466e-10  1.56291e-10
1.44  6.54466e-10  1.56842e-10
1.441  6.54466e-10  1.57393e-10
1.442  6.54466e-10  1.57944e-10
1.443  6.54466e-10  1.58495e-10
1.444  6.54466e-10  1.59046e-10
1.445  6.54466e-10  1.59597e-10
1.446  6.54104e-10  1.60148e-10
1.447  6.54104e-10  1.607e-10
1.448  6.54104e-10  1.61251e-10
1.449  6.54104e-10  1.61802e-10
1.45  6.54104e-10  1.62353e-10
1.451  6.54104e-10  1.62904e-10
1.452  6.54104e-10  1.63455e-10
1.453  6.54104e-10  1.64006e-10
1.454  6.92019e-10  1.6455e-10
1.455  6.92019e-10  1.65093e-10
1.456  6.92019e-10  1.65637e-10
1.457  6.92019e-10  1.6618e-10
1.458  6.92019e-10  1.66723e-10
1.459  6.92019e-10  1.67266e-10
1.46  6.92019e-10  1.67809e-10
1.461  6.8881e-10  1.68352e-10
1.462  6.8881e-10  1.68896e-10
1.463  6.8881e-10  1.69439e-10
1.464  6.8881e-10  1.69982e-10
1.465  6.8881e-10  1.70525e-10
1.466  6.8881e-10  1.71068e-10
1.467  6.8881e-10  1.71611e-10
1.468  6.8881e-10  1.72155e-10
1.469  7.20053e-10  1.72711e-10
1.47  7.20053e-10  1.73307e-10
1.471  7.20053e-10  1.73902e-10
1.472  7.20053e-10  1.74498e-10
1.473  7.20053e-10  1.75094e-10
1.474  7.20053e-10  1.75689e-10
1.475  7.20053e-10  1.76285e-10
1.476  7.20053e-10  1.7688e-10
1.477  7.17994e-10  1.77476e-10
1.478  7.17994e-10  1.78072e-10
1.479  7.17994e-10  1.78667e-10
1.48  7.17994e-10  1.79263e-10
1.481  7.17994e-10  1.79859e-10
1.482  7.17994e-10  1.80454e-10
1.483  7.17994e-10  1.8105e-10
1.484  7.17994e-10  1.81646e-10
1.485  7.49991e-10  1.82255e-10
1.486  7.49991e-10  1.82871e-10
1.487  7.49991e-10  1.83488e-10
1.488  7.49991e-10  1.84105e-10
1.489  7.49991e-10  1.84721e-10
1.49  7.49991e-10  1.85338e-10
1.491  7.49991e-10  1.85955e-10
1.492  7.49991e-10  1.86572e-10
1.493  7.49991e-10  1.87188e-10
1.494  7.49991e-10  1.87805e-10
1.495  7.49991e-10  1.88422e-10
1.496  7.49991e-10  1.89038e-10
1.497  7.49991e-10  1.89655e-10
1.498  7.49991e-10  1.90272e-10
1.499  7.49991e-10  1.90889e-10
1.5  7.83227e-10  1.91505e-10
1.501  7.83227e-10  1.92143e-10
1.502  7.83227e-10  1.92782e-10
1.503  7.83227e-10  1.9342e-10
1.504  7.83227e-10  1.94058e-10
1.505  7.83227e-10  1.94696e-10
1.506  7.83227e-10  1.95334e-10
1.507  7.83227e-10  1.95973e-10
1.508  7.83227e-10  1.96611e-10
1.509  7.83227e-10  1.97249e-10
1.51  7.83227e-10  1.97887e-10
1.511  7.83227e-10  1.98525e-10
1.512  7.83227e-10  1.99164e-10
1.513  7.83227e-10  1.99802e-10
1.514  7.83227e-10  2.0044e-10
1.515  7.83227e-10  2.01078e-10
1.516  8.26394e-10  2.01733e-10
1.517  8.26394e-10  2.02415e-10
1.518  8.26394e-10  2.03098e-10
1.519  8.26394e-10  2.0378e-10
1.52  8.26394e-10  2.04462e-10
1.521  8.26394e-10  2.05145e-10
1.522  8.26394e-10  2.05827e-10
1.523  8.26394e-10  2.0651e-10
1.524  8.2298e-10  2.07192e-10
1.525  8.2298e-10  2.07874e-10
1.526  8.2298e-10  2.08557e-10
1.527  8.2298e-10  2.09239e-10
1.528  8.2298e-10  2.09922e-10
1.529  8.2298e-10  2.10604e-10
1.53  8.2298e-10  2.11286e-10
1.531  8.2298e-10  2.11969e-10
1.532  8.70703e-10  2.12682e-10
1.533  8.70703e-10  2.13406e-10
1.534  8.70703e-10  2.14129e-10
1.535  8.70703e-10  2.14853e-10
1.536  8.70703e-10  2.15576e-10
1.537  8.70703e-10  2.163e-10
1.538  8.70703e-10  2.17023e-10
1.539  8.70703e-10  2.17747e-10
1.54  8.58873e-10  2.1847e-10
1.541  8.58873e-10  2.19194e-10
1.542  8.58873e-10  2.19918e-10
1.543  8.58873e-10  2.20641e-10
1.544  8.58873e-10  2.21365e-10
1.545  8.58873e-10  2.22088e-10
1.546  8.58873e-10  2.22812e-10
1.547  9.02748e-10  2.23538e-10
1.548  9.02748e-10  2.24282e-10
1.549  9.02748e-10  2.25027e-10
1.55  9.02748e-10  2.25771e-10
1.551  9.02748e-10  2.26516e-10
1.552  9.02748e-10  2.27261e-10
1.553  9.02748e-10  2.28005e-10
1.554  9.02748e-10  2.2875e-10
1.555  9.07495e-10  2.29494e-10
1.556  9.07495e-10  2.30239e-10
1.557  9.07495e-10  2.30983e-10
1.558  9.07495e-10  2.31728e-10
1.559  9.07495e-10  2.32472e-10
1.56  9.07495e-10  2.33217e-10
1.561  9.07495e-10  2.33962e-10
1.562  9.07495e-10  2.34706e-10
1.563  9.51739e-10  2.35466e-10
1.564  9.51739e-10  2.36242e-10
1.565  9.51739e-10  2.37018e-10
1.566  9.51739e-10  2.37793e-10
1.567  9.51739e-10  2.38569e-10
1.568  9.51739e-10  2.39344e-10
1.569  9.51739e-10  2.4012e-10
1.57  9.51739e-10  2.40896e-10
1.571  9.47686e-10  2.41671e-10
1.572  9.47686e-10  2.42447e-10
1.573  9.47686e-10  2.43223e-10
1.574  9.47686e-10  2.43999e-10
1.575  9.47686e-10  2.44774e-10
1.576  9.47686e-10  2.4555e-10
1.577  9.47686e-10  2.46326e-10
1.578  9.47686e-10  2.47102e-10
1.579  1.0073e-09  2.47932e-10
1.58  1.0073e-09  2.4877e-10
1.581  1.0073e-09  2.49608e-10
1.582  1.0073e-09  2.50446e-10
1.583  1.0073e-09  2.51284e-10
1.584  1.0073e-09  2.52123e-10
1.585  1.0073e-09  2.52961e-10
1.586  1.01551e-09  2.53799e-10
1.587  1.01551e-09  2.54637e-10
1.588  1.01551e-09  2.55475e-10
1.589  1.01551e-09  2.56313e-10
1.59  1.01551e-09  2.57152e-10
1.591  1.01551e-09  2.5799e-10
1.592  1.01551e-09  2.58828e-10
1.593  1.01551e-09  2.59666e-10
1.594  1.06737e-09  2.60516e-10
1.595  1.06737e-09  2.61401e-10
1.596  1.06737e-09  2.62285e-10
1.597  1.06737e-09  2.6317e-10
1.598  1.06737e-09  2.64054e-10
1.599  1.06737e-09  2.64939e-10
1.6  1.06737e-09  2.65824e-10
1.601  1.06737e-09  2.66708e-10
1.602  1.07783e-09  2.67593e-10
1.603  1.07783e-09  2.68477e-10
1.604  1.07783e-09  2.69362e-10
1.605  1.07783e-09  2.70247e-10
1.606  1.07783e-09  2.71131e-10
1.607  1.07783e-09  2.72016e-10
1.608  1.07783e-09  2.72901e-10
1.609  1.07783e-09  2.73785e-10
1.61  1.12629e-09  2.74704e-10
1.611  1.12629e-09  2.75644e-10
1.612  1.12629e-09  2.76583e-10
1.613  1.12629e-09  2.77523e-10
1.614  1.12629e-09  2.78462e-10
1.615  1.12629e-09  2.79402e-10
1.616  1.12629e-09  2.80342e-10
1.617  1.12629e-09  2.81281e-10
1.618  1.13109e-09  2.82221e-10
1.619  1.13109e-09  2.8316e-10
1.62  1.13109e-09  2.841e-10
1.621  1.13109e-09  2.8504e-10
1.622  1.13109e-09  2.85979e-10
1.623  1.13109e-09  2.86919e-10
1.624  1.13109e-09  2.87858e-10
1.625  1.13109e-09  2.88798e-10
1.626  1.22537e-09  2.8983e-10
1.627  1.22537e-09  2.90861e-10
1.628  1.22537e-09  2.91893e-10
1.629  1.22537e-09  2.92924e-10
1.63  1.22537e-09  2.93956e-10
1.631  1.22537e-09  2.94988e-10
1.632  1.22537e-09  2.96019e-10
1.633  1.23513e-09  2.97051e-10
1.634  1.23513e-09  2.98082e-10
1.635  1.23513e-09  2.99114e-10
1.636  1.23513e-09  3.00146e-10
1.637  1.23513e-09  3.01177e-10
1.638  1.23513e-09  3.02209e-10
1.639  1.23513e-09  3.03241e-10
1.64  1.23513e-09  3.04272e-10
1.641  1.29687e-09  3.05317e-10
1.642  1.29687e-09  3.06383e-10
1.643  1.29687e-09  3.0745e-10
1.644  1.29687e-09  3.08516e-10
1.645  1.29687e-09  3.09583e-10
1.646  1.29687e-09  3.10649e-10
1.647  1.29687e-09  3.11716e-10
1.648  1.29687e-09  3.12782e-10
1.649  1.303e-09  3.13849e-10
1.65  1.303e-09  3.14915e-10
1.651  1.303e-09  3.15981e-10
1.652  1.303e-09  3.17048e-10
1.653  1.303e-09  3.18114e-10
1.654  1.303e-09  3.19181e-10
1.655  1.303e-09  3.20247e-10
1.656  1.303e-09  3.21314e-10
1.657  1.38591e-09  3.22453e-10
1.658  1.38591e-09  3.23616e-10
1.659  1.38591e-09  3.24779e-10
1.66  1.38591e-09  3.25942e-10
1.661  1.38591e-09  3.27105e-10
1.662  1.38591e-09  3.28268e-10
1.663  1.38591e-09  3.29431e-10
1.664  1.38591e-09  3.30594e-10
1.665  1.39645e-09  3.31757e-10
1.666  1.39645e-09  3.3292e-10
1.667  1.39645e-09  3.34083e-10
1.668  1.39645e-09  3.35246e-10
1.669  1.39645e-09  3.36409e-10
1.67  1.39645e-09  3.37572e-10
1.671  1.39645e-09  3.38736e-10
1.672  1.4933e-09  3.39909e-10
1.673  1.4933e-09  3.41155e-10
1.674  1.4933e-09  3.42402e-10
1.675  1.4933e-09  3.43648e-10
1.676  1.4933e-09  3.44895e-10
1.677  1.4933e-09  3.46141e-10
1.678  1.4933e-09  3.47388e-10
1.679  1.4933e-09  3.48634e-10
1.68  1.50091e-09  3.49881e-10
1.681  1.50091e-09  3.51127e-10
1.682  1.50091e-09  3.52374e-10
1.683  1.50091e-09  3.5362e-10
1.684  1.50091e-09  3.54867e-10
